model_id,model_type,dataset_type,station,file_path,base_path,test_rmse,model_size_mb
lstm_separate_美濃_72V140_combined_windows,lstm,separate,美濃_72V140_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_美濃_72V140_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_美濃_72V140_combined_windows,,0.91
lstm_separate_苗栗_C0E750_combined_windows,lstm,separate,苗栗_C0E750_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_苗栗_C0E750_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_苗栗_C0E750_combined_windows,2.64814595843153,0.07
lstm_separate_苗栗_C0E750_combined_windows,lstm,separate,苗栗_C0E750_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_苗栗_C0E750_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_苗栗_C0E750_combined_windows,,0.9
lstm_separate_埔里_C0H890_combined_windows,lstm,separate,埔里_C0H890_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_埔里_C0H890_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_埔里_C0H890_combined_windows,2.18125279249451,0.07
lstm_separate_埔里_C0H890_combined_windows,lstm,separate,埔里_C0H890_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_埔里_C0H890_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_埔里_C0H890_combined_windows,,0.9
lstm_separate_桃園_C0C480_combined_windows,lstm,separate,桃園_C0C480_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_桃園_C0C480_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_桃園_C0C480_combined_windows,2.76906985116935,0.07
lstm_separate_桃園_C0C480_combined_windows,lstm,separate,桃園_C0C480_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_桃園_C0C480_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_桃園_C0C480_combined_windows,,0.9
lstm_separate_馬公_467350_combined_windows,lstm,separate,馬公_467350_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_馬公_467350_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_馬公_467350_combined_windows,2.07048025394016,0.07
lstm_separate_馬公_467350_combined_windows,lstm,separate,馬公_467350_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_馬公_467350_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_馬公_467350_combined_windows,,0.9
lstm_separate_馬祖_467990_combined_windows,lstm,separate,馬祖_467990_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_馬祖_467990_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_馬祖_467990_combined_windows,3.08322983271826,0.07
lstm_separate_馬祖_467990_combined_windows,lstm,separate,馬祖_467990_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_馬祖_467990_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_馬祖_467990_combined_windows,,0.9
lstm_separate_基隆_466940_combined_windows,lstm,separate,基隆_466940_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_基隆_466940_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_基隆_466940_combined_windows,2.73513134465263,0.07
lstm_separate_基隆_466940_combined_windows,lstm,separate,基隆_466940_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_基隆_466940_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_基隆_466940_combined_windows,,0.9
lstm_separate_崙背_C0K250_combined_windows,lstm,separate,崙背_C0K250_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_崙背_C0K250_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_崙背_C0K250_combined_windows,3.87484486868121,0.07
lstm_separate_崙背_C0K250_combined_windows,lstm,separate,崙背_C0K250_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_崙背_C0K250_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_崙背_C0K250_combined_windows,,0.9
lstm_separate_淡水_466900_combined_windows,lstm,separate,淡水_466900_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_淡水_466900_combined_windows_complete.rds,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_淡水_466900_combined_windows,3.49068196819175,0.07
lstm_separate_淡水_466900_combined_windows,lstm,separate,淡水_466900_combined_windows,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_淡水_466900_combined_windows_state.pt,D:\pythonWork\R_datascience\final\Train_R_new\Train_R\model_outputs\models\lstm_separate_淡水_466900_combined_windows,,0.9
