station,lstm_best_rmse,lstm_model_count,lstm_best_model,lstm_dataset_type,lstm_rank,lgbm_best_rmse,lgbm_model_count,lgbm_best_model,lgbm_dataset_type,lgbm_rank,combined_score,overall_rank
橋頭_C0V760_combined_windows,3.14319422586218,1,lstm_separate_橋頭_C0V760_combined_windows,separate,107,3.16492720615366,1,lgbm_separate_橋頭_C0V760_combined_windows,separate,111,0.317055364448456,109
板橋_C0ACA0_combined_windows,3.12137609369402,1,lstm_separate_板橋_C0ACA0_combined_windows,separate,105,3.20270597743257,1,lgbm_separate_板橋_C0ACA0_combined_windows,separate,113,0.316303743249697,110
復興_C0V710_combined_windows,3.23054617234228,1,lstm_separate_復興_C0V710_combined_windows,separate,111,3.16871567236373,1,lgbm_separate_復興_C0V710_combined_windows,separate,112,0.312565226972292,111
大同_C0AI30_combined_windows,3.28219797849254,1,lstm_separate_大同_C0AI30_combined_windows,separate,113,3.14180882805365,1,lgbm_separate_大同_C0AI30_combined_windows,separate,109,0.311480933380102,112
萬華_466920_combined_windows,3.22177727618326,1,lstm_separate_萬華_466920_combined_windows,separate,110,3.25023711384988,1,lgbm_separate_萬華_466920_combined_windows,separate,118,0.309028774339897,113
新港_C0M790_combined_windows,3.35755097608157,1,lstm_separate_新港_C0M790_combined_windows,separate,115,3.20480690233973,1,lgbm_separate_新港_C0M790_combined_windows,separate,115,0.304933706656191,114
潮州_C0R220_combined_windows,3.36192808993343,1,lstm_separate_潮州_C0R220_combined_windows,separate,116,3.22058299863051,1,lgbm_separate_潮州_C0R220_combined_windows,separate,117,0.303975574468266,115
淡水_466900_combined_windows,3.49068196819175,1,lstm_separate_淡水_466900_combined_windows,separate,121,3.11465584279673,1,lgbm_separate_淡水_466900_combined_windows,separate,107,0.30376986571888,116
小港_C0V450_combined_windows,3.32895340687128,1,lstm_separate_小港_C0V450_combined_windows,separate,114,3.3165736599446,1,lgbm_separate_小港_C0V450_combined_windows,separate,119,0.300955352446532,117
中山_C0AH70_combined_windows,3.41804671919081,1,lstm_separate_中山_C0AH70_combined_windows,separate,117,3.35833500739655,1,lgbm_separate_中山_C0AH70_combined_windows,separate,120,0.295165677831271,118
金門_C0W150_combined_windows,3.42628115625173,1,lstm_separate_金門_C0W150_combined_windows,separate,118,3.3961265553294,1,lgbm_separate_金門_C0W150_combined_windows,separate,121,0.293157365694368,119
中壢_A2C560_combined_windows,3.47137152316497,1,lstm_separate_中壢_A2C560_combined_windows,separate,120,3.39847002768321,1,lgbm_separate_中壢_A2C560_combined_windows,separate,122,0.291160317431484,120
